#Table1
fiberID,ra,dec,z_noqso,z_noqso_err,passive_logmass,starforming_logmass,pca_logmass
598,27.394831,0.84501749,0.5996124,0.0001540838,11.14,10.75,11.4069496727898
653,27.827709,0.32778222,0.5608736,9.504948E-05,11.1,10.93,11.2264372971258
711,28.00522,1.0718842,0.3609206,0.0001225111,11.33,11.39,11.6876537339995
767,28.387275,0.50820926,0.4271477,0.0001105308,11.3,11.06,11.3271526859462
823,28.473745,0.91207328,0.5153993,0.0001840513,11.17,11.14,11.2232649222715
885,28.791511,0.35464047,0.5262623,0.0001457244,11.32,10.99,11.4928433102177
957,29.191298,0.74749505,0.3898812,8.138026E-05,11.46,11.35,11.5453004913288
41,29.036656,-0.8666753,0.4915871,4.9479E-05,11.03,11.03,11.246305004941
89,28.97119,-0.82130638,0.4927355,8.752898E-05,11.57,11.33,11.7780134516652
137,28.852068,-0.64850371,0.5531752,0.0001804184,11.13,10.73,11.3958358581876
191,28.547649,-0.2454972,0.3538287,5.00581E-05,11.4,11.14,11.5888124195772
245,28.319591,-1.0293048,0.4204649,8.690512E-05,11.54,11.1,11.6620186884975
307,28.035824,-0.4179175,0.5646703,0.0001301864,11.5,11.22,11.5508835048531
369,27.597432,-1.1028134,0.471799,7.185198E-05,11.36,11.04,11.7010973616852
412,27.393627,-0.99990883,0.5675004,0.0001252543,11.43,11.49,11.5938263333373
471,27.201996,-0.51245203,0.5935367,0.0001575269,11.17,11.01,11.6664482051274
528,27.121624,0.07286523,0.4698188,0.0001382871,10.9,11.02,11.2214176509879
582,27.038863,1.1006308,0.06992211,9.947197E-06,10.75,10.65,11.052641662769
632,27.533192,0.84570861,0.2043799,2.439443E-05,11.32,10.83,11.3452716897009
691,28.107099,0.49504718,0.4819121,0.0001095435,11.07,11.16,11.4691266439622
742,28.290373,1.0334282,0.05851462,9.321368E-06,10.81,10.51,10.760810604319
804,28.533456,0.45152772,0.5280715,0.0001838525,11.08,10.84,11.4494477416447
858,28.584906,0.084803254,0.484193,0.0001406793,11.02,10.73,11.3265624906198
931,28.883832,0.24180504,0.531909,0.0002214443,11.06,10.79,11.4754597967258
47,29.120451,-0.69151494,0.5587744,0.0001858638,11.17,10.85,11.3304909210419
99,28.922671,-0.63066331,0.4894577,0.0001152328,11.42,11.13,11.4094627330342
143,28.736032,-0.43890925,0.4364743,6.232087E-05,11.59,11.55,11.8207450689515
