#Table1
fiberID,ra,dec,z_noqso,z_noqso_err,passive_logmass
647,27.788276,0.31456528,0.488427,6.109163E-05,11.18
649,27.834389,0.3507329,0.2751501,2.929924E-05,11.22
651,27.805964,0.13241006,0.5291997,0.0001301502,11.19
653,27.827709,0.32778222,0.5608736,9.504948E-05,11.1
655,27.760403,0.16828167,0.646302,8.410605E-05,11.35
657,27.755418,0.22075481,0.5228477,0.0001536995,10.97
661,27.89259,1.1614083,0.5093248,0.0001104494,11.37
662,28.021639,1.1622598,0.3624628,6.152193E-05,11.05
663,27.883804,1.0910421,0.5507934,0.0001154264,11.22
665,27.810862,1.0865453,0.5146764,9.509292E-05,11.3
666,27.946776,1.2265716,0.07970101,9.870831E-06,11.49
667,27.855357,0.96469867,0.5078273,0.0001150098,11.17
669,27.896866,0.83639379,0.7944318,5.256438E-05,11.7
671,27.757967,0.97512832,0.7008078,0.0002293372,11.4
673,27.835316,0.9687288,0.7061412,0.0002017907,11.55
675,27.759049,0.85158095,0.3597837,4.878442E-05,11.18
677,27.757107,1.0816561,0.5900366,0.0001226337,11.15
679,27.780715,0.81915782,0.5171347,0.0001630995,10.93
683,27.953646,0.074342078,0.6002181,0.000147418,11.37
684,27.999577,0.30190814,0.2405015,1.349741E-05,10.53
685,27.884659,0.53289236,0.5241706,0.0002088365,11.1
687,27.957893,0.33799883,0.4836806,0.0001399784,11.32
689,27.976724,0.20182853,0.4885839,0.0001191991,11.53
690,27.984698,0.50557314,0.1434044,6.913252E-06,10.4
691,28.107099,0.49504718,0.4819121,0.0001095435,11.07
693,27.92288,0.22562165,0.487977,0.0001013626,11.13
695,27.93898,-0.00036287277,0.4901034,0.000102739,11.04
697,28.097004,0.10090449,0.6031706,9.951108E-05,11.58
699,28.040579,0.55313822,0.5741198,0.0001250147,11.43
701,27.920097,1.24811,0.485292,8.263897E-05,11.28
703,27.975498,1.0860743,0.5151494,0.0001664613,11.08
705,27.994405,1.2398952,0.4216903,5.898851E-05,11.55
707,28.165746,0.80457736,0.4573786,0.0001260395,10.98
708,28.085811,1.144557,0.2958313,6.963214E-05,10.46
709,28.087547,1.194934,0.1879793,2.615391E-05,10.55
711,28.00522,1.0718842,0.3609206,0.0001225111,11.33
713,28.186802,0.97367483,0.5749333,0.0001468121,11.12
715,28.102318,0.6727386,0.5529165,0.0001040259,11.8
716,28.068914,0.88229802,0.38085,2.77334E-05,11.16
717,28.109916,0.87188338,0.4855097,0.0001518394,10.96
721,28.260397,0.55229447,0.5147408,0.000114158,11.14
723,28.176705,0.61021983,0.7088881,0.0002122745,11.41
724,28.242062,0.38693063,0.4812936,0.0001352924,11.25
725,28.244317,0.41938189,0.5746202,0.0001178013,11.26
727,28.133068,0.32636788,0.4315923,8.367238E-05,10.97
728,28.211152,0.20292766,0.4933608,9.529558E-05,11.16
729,28.288429,0.36358857,0.5857326,0.0001401155,11.74
731,28.093371,0.016279495,0.5281304,0.0001158811,11.29
732,28.208287,0.29646649,0.4938993,0.0001148805,11.23
733,28.261234,0.26815719,0.5858203,0.0001201867,11.35
735,28.247143,0.17721012,0.5530859,0.0001319323,10.97
737,28.250541,0.14657604,0.4960487,0.0001798908,11.27
738,28.249787,0.22269511,0.6253376,0.000123381,11.4
739,28.220861,0.087741893,0.4917454,0.0001280683,10.92
740,28.203798,0.074710959,0.5039967,8.320544E-05,11.11
741,28.205291,1.025971,0.5764164,8.912892E-05,11.47
742,28.290373,1.0334282,0.05851462,9.321368E-06,10.81
743,28.190007,1.07259,0.5802791,0.0001092377,11.35
745,28.258803,0.9598445,0.2321811,3.579528E-05,11.4
747,28.142363,1.2441438,0.1085624,9.143201E-06,10.68
752,28.277929,1.1137921,0.226164,7.479351E-05,10.22
753,28.329016,0.89918705,0.1319772,9.201872E-05,10.19
757,28.261226,0.69749783,0.7488416,0.0001732681,11.67
762,28.343966,0.33691744,0.5730698,0.0001640963,11.19
763,28.330136,0.44208219,0.4818421,0.0001226389,10.88
764,28.325959,0.29356604,0.4920664,0.0001547891,10.98
765,28.424173,0.49259382,0.4798428,0.000151316,11
