UID,x[kpc/h],y[kpc/h],z[kpc/h],x_pix,y_pix,i_sector,m500c[Msol/h],r500c[kpc/h],gas_frac,star_frac,T[kev],Lx[1e44erg/s],Y500c,M_sat/M_cD,cshift[kpc],vx[km/s],vy[km/s],vz[km/s]
129,502844.91,55669.816,359951.0,12872,14958,47,246642000000000.0,931.916,0.115352,0.0263605,3.90239,3.0016599999999998,36.862753999999995,0.304676,0.0,-3.63275,-484.348,110.439
130,49387.969000000005,49684.168,553976.31,1264,15112,42,264807000000000.0,954.228,0.107506,0.027646,4.419169999999999,3.6659300000000004,39.839413,0.26459,0.0,104.824,-189.583,-159.457
131,388219.28,368699.06,634423.69,9938,6945,18,117025000000000.0,726.85,0.102363,0.0340706,2.86761,0.986223,18.748664,0.0251912,0.0,-913.982,-265.851,50.9897
132,477280.22,383047.94,3097.5239,12218,6577,19,204459000000000.0,875.432,0.10949,0.02887,3.24865,2.33575,27.362459,0.206021,0.0,-17.6693,444.042,539.341
133,636977.56,367585.31,278262.72,16306,6973,20,265256000000000.0,954.795,0.113423,0.0281017,3.7630199999999996,4.009530000000001,35.809653999999995,0.391385,0.0,-268.001,124.084,-23.0464
134,229405.31,471036.84,128344.02,5872,4325,9,104983000000000.0,700.986,0.106165,0.0431401,2.38345,12.5273,15.588428,0.0343586,0.0,-154.61,117.038,79.5822
135,258835.48,187610.42,293010.12,6626,11581,30,187227000000000.0,850.116,0.110829,0.0327403,3.5664,2.37787,29.52642,0.409004,0.0,3.10325,-126.352,110.90299999999999
136,40809.07,623286.44,582722.56,1044,427,0,194171000000000.0,860.491,0.105962,0.0306496,3.6347199999999997,2.50953,29.122602,0.235717,0.0,23.0977,88.9678,157.942
137,265646.56,399407.5,274971.09,6800,6159,16,210094000000000.0,883.4,0.112339,0.0319727,3.7657,2.65122,32.839337,0.09163660000000001,0.0,-130.895,-581.309,48.7757
138,405272.25,33766.484,539668.12,10374,15519,46,247748000000000.0,933.293,0.113025,0.0317337,4.49864,3.5095,41.701066,0.20880100000000001,0.0,-175.903,-0.868999,289.69599999999997
139,396181.84,1840.7521,634605.06,10142,16336,46,179429000000000.0,838.117,0.115048,0.0305662,3.0270599999999996,2.44616,25.650719,0.09896089999999999,0.0,265.20099999999996,-185.93400000000003,-726.2310000000001
140,272722.22,542948.69,412900.22,6981,2484,9,205363000000000.0,876.697,0.108585,0.03282,3.74916,2.26265,31.364711,0.22927199999999998,0.0,686.948,60.9381,184.49
141,41358.859,598138.19,384629.59,1058,1071,0,222575000000000.0,900.569,0.110035,0.0284495,3.9281900000000003,2.8727400000000003,34.204375,0.129473,0.0,-429.952,-590.395,93.2987
142,377644.81,371891.28,13864.934,9667,6863,18,204222000000000.0,875.075,0.112693,0.0320882,3.48412,3.09706,30.193906,0.332473,0.0,-261.439,41.3927,-1076.07
143,583560.31,84906.07800000001,241327.03,14939,14210,48,145935000000000.0,782.361,0.104913,0.0409495,2.65593,162.303,19.15612,0.0990131,0.0,222.168,598.489,88.3781
144,108624.0,194620.17,193943.36,2780,11401,29,104371000000000.0,699.653,0.107524,0.0302354,2.47114,0.759967,16.335449,0.6084350000000001,0.0,-230.71200000000002,429.87800000000004,80.71
145,213082.7,782.93427,65507.16,5454,16363,44,171273000000000.0,825.253,0.0966,0.0293661,3.5343400000000003,1.41283,24.758034,0.181593,0.0,-268.83099999999996,-133.88299999999998,-143.171
146,293125.44,396140.25,632037.56,7504,6242,17,102204000000000.0,694.763,0.100268,0.0307534,2.47067,0.810121,15.1247,0.127414,0.0,774.454,-915.822,101.736
147,498926.97,372316.0,110932.15,12772,6852,19,205688000000000.0,877.187,0.109757,0.0328494,3.78655,2.58665,32.034509,0.046923900000000004,0.0,-123.27,-171.233,-185.782
148,552631.31,137962.81,414014.09,14147,12852,41,223535000000000.0,901.843,0.0954104,0.0322796,3.65835,1.9255200000000001,27.661786,0.206056,0.0,607.6619999999999,-87.381,309.327
